cell_id,cycle_number,capacity_ah,ambient_c,soh_pct,window_charge_ah,ic_peak_height,ic_peak_voltage,voltage_slope_v_per_s,cv_phase_seconds,temp_rise_c,temp_max_c
B0005,59,1.69458,24.0,84.729,0.889534,4.822054,3.955085,0.000108,5208.516,2.573223,29.592983
B0005,60,1.684903,24.0,84.2451,0.883747,4.677337,4.001695,0.000108,5270.171,2.535766,29.511621
B0005,61,1.674474,24.0,83.7237,0.876959,4.745452,3.955085,0.000109,5284.594,2.461582,29.367459
B0005,62,1.674569,24.0,83.7285,0.871833,4.67213,3.959322,0.00011,5325.188,2.555923,29.237377
B0005,63,1.663716,24.0,83.1858,0.869619,4.602456,4.001695,0.00011,5272.937,2.517417,29.66066
B0005,64,1.659014,24.0,82.9507,0.863462,4.542159,3.99322,0.000111,5318.828,2.383143,29.685995
B0005,65,1.653854,24.0,82.6927,0.857686,4.594683,3.988983,0.000112,5114.578,2.431815,29.597306
B0005,66,1.642654,24.0,82.1327,0.851082,4.554108,4.001695,0.000112,5379.766,2.401299,29.467537
B0005,67,1.637858,24.0,81.8929,0.84462,4.582563,3.997458,0.000113,5425.437,2.404146,29.380339
B0005,68,1.632735,24.0,81.6368,0.839621,4.44998,4.001695,0.000114,5446.593,2.405545,29.433496
B0005,69,1.627753,24.0,81.3876,0.834215,4.427979,4.001695,0.000115,5528.891,2.369244,29.478595
B0005,70,1.622125,24.0,81.1063,0.827397,4.34235,3.99322,0.000115,5412.922,2.348102,29.485509
B0005,71,1.611326,24.0,80.5663,0.821733,4.317062,3.997458,0.000116,5541.125,2.328347,29.468401
B0005,72,1.606563,24.0,80.3282,0.815658,4.366951,3.99322,0.000117,5510.375,2.318782,29.445806
B0005,73,1.601514,24.0,80.0757,0.810195,4.311037,4.005932,0.000118,5625.172,2.316882,29.461354
B0005,74,1.590369,24.0,79.5185,0.804472,4.230753,4.001695,0.000119,5650.188,2.292014,29.419372
B0005,75,1.585789,24.0,79.2894,0.795724,4.18194,4.001695,0.00012,5660.781,2.27863,29.367196
B0005,76,1.584943,24.0,79.2472,0.789169,4.173232,4.001695,0.000121,5746.75,2.233585,29.297103
B0005,77,1.595526,24.0,79.7763,0.797795,4.341327,4.001695,0.000117,5764.406,3.443376,29.54829
B0005,78,1.57473,24.0,78.7365,0.793489,4.131901,3.99322,0.00012,5716.468,2.207056,29.561096
B0005,79,1.564902,24.0,78.2451,0.77765,4.136665,4.001695,0.000122,5807.953,2.209016,29.019647
B0005,80,1.559766,24.0,77.9883,0.767033,4.029729,4.014407,0.000123,5870.437,2.236494,28.885501
B0005,81,1.559482,24.0,77.9741,0.763223,4.115152,4.010169,0.000124,5889.36,2.26774,29.195907
B0005,82,1.554689,24.0,77.7345,0.764128,3.962921,4.010169,0.000124,5806.406,2.246409,29.781643
B0005,83,1.548874,24.0,77.4437,0.758431,3.952675,3.997458,0.000125,5867.375,2.177742,29.71021
B0005,84,1.538237,24.0,76.9118,0.751188,3.909539,4.010169,0.000126,5867.969,2.17067,29.587669
B0005,85,1.527914,24.0,76.3957,0.740861,3.834428,4.005932,0.000128,5943.328,2.075451,29.264258
B0005,86,1.528525,24.0,76.4263,0.734156,3.888184,4.018644,0.000129,6010.516,2.200803,29.166832
B0005,87,1.522647,24.0,76.1324,0.73504,3.77498,4.005932,0.000129,5943.469,2.210053,29.641682
B0005,88,1.517486,24.0,75.8743,0.730198,3.806604,4.014407,0.00013,5937.125,2.169066,29.840833
B0005,89,1.563849,24.0,78.1925,0.767867,4.178466,4.014407,0.000121,5867.688,3.516652,29.683647
B0005,90,1.548092,24.0,77.4046,0.770611,3.985438,4.001695,0.000124,5715.563,2.305326,30.299188
B0005,91,1.532376,24.0,76.6188,0.756901,3.931716,4.010169,0.000126,5785.063,2.229136,30.159651
B0005,92,1.526953,24.0,76.3476,0.74381,3.877947,4.010169,0.000128,5798.469,2.173444,29.922619
B0005,93,1.516957,24.0,75.8479,0.736657,3.859589,3.99322,0.000129,5865.875,2.206398,29.789042
B0005,94,1.511898,24.0,75.5949,0.728022,3.835532,4.014407,0.00013,5921.219,2.201911,29.739617
B0005,95,1.506564,24.0,75.3282,0.723387,3.78082,4.018644,0.000131,5850.422,2.211843,29.817452
B0005,96,1.501545,24.0,75.0773,0.71767,3.778559,4.022881,0.000132,5928.0,2.161076,29.804975
B0005,97,1.490844,24.0,74.5422,0.712198,3.690313,4.014407,0.000133,6003.188,2.180154,29.815187
B0005,98,1.485868,24.0,74.2934,0.704796,3.719471,4.018644,0.000134,6003.203,2.186604,29.836685
B0005,99,1.480414,24.0,74.0207,0.700012,3.6537,4.018644,0.000135,5959.157,2.179626,29.863474
B0005,100,1.47521,24.0,73.7605,0.695322,3.667955,4.005932,0.000135,6010.641,2.167457,29.84788
B0005,101,1.485904,24.0,74.2952,0.689072,3.58215,4.014407,0.000136,5996.688,2.167295,29.817445
B0005,102,1.496092,24.0,74.8046,0.700417,3.919367,4.010169,0.000131,6178.516,3.29704,30.040886
B0005,103,1.480801,24.0,74.04,0.707081,3.774603,4.018644,0.000134,5975.875,2.17326,30.484119
B0005,104,1.469754,24.0,73.4877,0.694428,3.592026,4.014407,0.000136,5967.687,2.156924,30.320993
B0005,105,1.453901,24.0,72.6951,0.68495,3.589505,4.010169,0.000137,6060.328,2.158439,30.154997
B0005,106,1.454146,24.0,72.7073,0.677598,3.542318,4.014407,0.000139,6049.125,2.171038,29.976829
B0005,107,1.455024,24.0,72.7512,0.671936,3.509771,4.027119,0.00014,6088.875,2.206163,30.085075
B0005,108,1.449042,24.0,72.4521,0.672168,3.527456,4.014407,0.00014,6051.593,2.214839,30.388202
B0005,109,1.438671,24.0,71.9335,0.666951,3.519662,4.014407,0.000141,6117.39,2.156754,30.350932
B0005,110,1.433445,24.0,71.6723,0.656715,3.48273,4.014407,0.000142,6174.86,2.147803,29.976324
B0005,111,1.433396,24.0,71.6698,0.652246,3.425203,4.027119,0.000143,6139.313,2.213382,30.072488
B0005,112,1.428065,24.0,71.4032,0.652574,3.371433,4.031356,0.000143,6147.719,2.203856,30.336672
B0005,113,1.42292,24.0,71.146,0.649803,3.397377,4.018644,0.000144,6127.797,2.157859,30.483129
B0005,114,1.417429,24.0,70.8715,0.643155,3.596647,4.018644,0.000145,6173.735,2.152717,30.274856
B0005,115,1.412409,24.0,70.6205,0.636785,3.348531,4.018644,0.000146,6221.438,2.11999,30.035871
B0005,116,1.412579,24.0,70.6289,0.63079,3.27996,4.014407,0.000147,6255.203,2.173465,30.037365
B0005,117,1.407598,24.0,70.3799,0.632307,3.340374,4.022881,0.000147,6245.39,2.192979,30.351591
B0005,118,1.433392,24.0,71.6696,0.631158,3.323848,4.022881,0.000147,6144.266,2.203544,30.676489
B0005,119,1.438255,24.0,71.9128,0.662247,3.513087,4.001695,0.000139,6118.985,2.883115,30.448108
B0005,120,1.417355,24.0,70.8677,0.655602,3.582113,4.035593,0.000143,6143.531,2.136849,30.609065
B0005,121,1.406982,24.0,70.3491,0.639512,3.337207,4.031356,0.000145,6108.422,2.123522,30.193783
B0005,122,1.401204,24.0,70.0602,0.628353,3.329071,4.014407,0.000147,6177.265,2.142548,29.935658
B0005,123,1.396701,24.0,69.835,0.622942,3.268678,4.018644,0.000148,6174.672,2.155357,29.888167
B0005,124,1.391285,24.0,69.5642,0.617782,3.3099,4.031356,0.000149,6231.641,2.164478,29.861095
B0005,125,1.386229,24.0,69.3114,0.612162,3.230901,4.039831,0.00015,6234.36,2.156238,29.859618
B0005,126,1.380437,24.0,69.0218,0.607232,3.25631,4.035593,0.000152,6231.265,2.147766,29.76623
B0005,127,1.375236,24.0,68.7618,0.601314,3.244243,4.031356,0.000153,6272.375,2.150955,29.659062
B0005,128,1.370513,24.0,68.5256,0.59617,3.202419,4.022881,0.000154,6282.407,2.151742,29.636313
B0005,129,1.370509,24.0,68.5254,0.593755,3.19626,4.014407,0.000155,6251.312,2.15698,29.674942
B0005,130,1.364736,24.0,68.2368,0.589779,3.158245,4.039831,0.000155,6314.531,2.149466,29.66256
B0005,131,1.375392,24.0,68.7696,0.58466,3.101848,4.031356,0.000156,6299.438,2.169076,29.574919
B0005,132,1.386112,24.0,69.3056,0.595599,3.388767,4.027119,0.000148,6436.0,3.197218,30.03898
B0005,133,1.36985,24.0,68.4925,0.608736,3.135531,4.035593,0.000155,6145.203,1.252671,30.449257
B0005,134,1.364783,24.0,68.2391,0.593047,3.176397,4.022881,0.000154,6300.938,2.141492,30.05146
B0005,135,1.354322,24.0,67.7161,0.586247,3.121435,4.039831,0.000156,6215.234,2.125784,29.83229
B0005,136,1.354642,24.0,67.7321,0.578567,3.116408,4.035593,0.000157,6274.531,2.188244,29.749204
B0005,137,1.354704,24.0,67.7352,0.580841,3.109562,4.044068,0.000157,6270.25,2.184132,30.125016
B0005,138,1.349315,24.0,67.4657,0.578906,3.133604,4.022881,0.000158,6276.766,2.157718,30.142009
B0005,139,1.344189,24.0,67.2095,0.571631,3.089704,4.022881,0.00016,6361.625,2.141844,29.843375
B0005,140,1.338991,24.0,66.9496,0.56363,3.086995,4.039831,0.000161,6388.141,2.140408,29.56448
B0005,141,1.338915,24.0,66.9457,0.55942,3.037739,4.052542,0.000162,6386.704,2.175256,29.574315
B0005,142,1.334007,24.0,66.7003,0.561257,3.113907,4.035593,0.000162,6385.094,2.14148,29.926917
B0005,143,1.328644,24.0,66.4322,0.556233,3.048198,4.052542,0.000163,6347.532,2.120952,29.766294
B0005,144,1.323171,24.0,66.1585,0.549074,2.991297,4.044068,0.000164,6420.375,2.123877,29.462747
B0005,145,1.318169,24.0,65.9085,0.541879,2.972575,4.044068,0.000166,6428.828,2.15135,29.271931
B0005,146,1.318466,24.0,65.9233,0.538702,2.983754,4.035593,0.000167,6419.109,2.203444,29.363557
B0005,147,1.318293,24.0,65.9147,0.540665,2.951307,4.027119,0.000166,6381.469,2.140923,29.663104
B0005,148,1.323872,24.0,66.1936,0.539496,2.938137,4.052542,0.000167,6437.11,2.158951,29.609552
B0005,149,1.360122,24.0,68.0061,0.524723,3.151145,4.035593,0.00016,6754.094,3.118976,29.240355
B0005,150,1.339531,24.0,66.9765,0.577972,3.145428,4.031356,0.000158,6384.125,2.10191,29.828616
B0005,151,1.329029,24.0,66.4514,0.563881,3.013172,4.039831,0.000161,6334.046,2.158246,29.749013
B0005,152,1.323674,24.0,66.1837,0.552853,3.027501,4.039831,0.000163,6335.829,2.132194,29.560275
B0005,153,1.318634,24.0,65.9317,0.545934,3.041832,4.044068,0.000165,6350.719,2.163278,29.475615
B0005,154,1.313475,24.0,65.6738,0.541637,3.050261,4.039831,0.000166,6376.047,2.158327,29.414812
B0005,155,1.313202,24.0,65.6601,0.536351,2.962082,4.044068,0.000167,6358.672,2.164887,29.395124
B0005,156,1.307796,24.0,65.3898,0.534015,2.928984,4.035593,0.000167,5831.25,2.167239,29.410028
B0005,157,1.303033,24.0,65.1516,0.529176,2.945227,4.044068,0.000169,6363.328,2.152584,29.314278
B0005,158,1.303357,24.0,65.1679,0.526815,2.894311,4.05678,0.000169,6370.922,2.175404,29.362572
B0005,159,1.30341,24.0,65.1705,0.525718,2.891598,4.048305,0.00017,6342.531,2.161927,29.41197
B0005,160,1.297887,24.0,64.8944,0.524899,2.917402,4.035593,0.00017,6410.36,2.147776,29.442961
B0005,161,1.298074,24.0,64.9037,0.520238,2.897507,4.05678,0.000171,6400.656,2.155253,29.42301
B0005,162,1.293464,24.0,64.6732,0.518082,2.849303,4.035593,0.000172,6381.484,2.155561,29.346694
B0005,163,1.288003,24.0,64.4002,0.51344,2.878428,4.061017,0.000172,6409.219,2.154091,29.392476
B0005,164,1.287453,24.0,64.3726,0.511799,2.862229,4.061017,0.000173,6371.406,2.173552,29.451853
B0005,165,1.309015,24.0,65.4508,0.510526,2.828608,4.048305,0.000174,6402.797,2.158235,29.487007
B0005,166,1.325079,24.0,66.254,0.529075,3.170183,4.052542,0.000163,6604.203,2.717105,29.072716
B0006,2,2.02514,24.0,101.257,1.07382,6.325818,3.988983,8.7e-05,5601.641,0.647487,31.874973
B0006,3,2.013326,24.0,100.6663,1.06734,6.157622,3.988983,8.8e-05,5632.156,0.596106,32.149173
B0006,4,2.013285,24.0,100.6642,1.056096,6.072922,3.99322,8.9e-05,5734.0,0.587513,32.017074
B0006,5,2.000528,24.0,100.0264,1.047082,6.025369,3.980508,9e-05,5458.437,0.573774,31.92107
B0006,6,2.013899,24.0,100.695,1.049665,6.237601,3.99322,9e-05,6011.203,0.482849,32.032402
B0006,7,2.013101,24.0,100.6551,1.038379,5.841061,3.988983,9.1e-05,5742.547,0.503048,32.002633
B0006,8,1.96879,24.0,98.4395,1.037215,5.810405,3.99322,9.1e-05,5643.328,0.4756,32.204361
B0006,9,1.968166,24.0,98.4083,1.028418,5.922764,3.984746,9.2e-05,5694.406,0.465359,32.089091
B0006,10,1.957231,24.0,97.8615,1.019762,5.741485,3.99322,9.3e-05,5716.797,0.424055,31.997731
B0006,11,1.945599,24.0,97.28,1.028134,5.807515,3.988983,9.2e-05,5716.39,0.205401,32.16534
B0006,12,1.934751,24.0,96.7375,0.922887,5.316982,3.988983,0.000103,5056.203,-0.434361,30.352216
B0006,13,1.92328,24.0,96.164,0.998532,5.564296,3.988983,9.5e-05,5296.844,0.222961,32.180602
B0006,14,1.91189,24.0,95.5945,0.990297,5.396103,3.997458,9.6e-05,5143.781,0.227026,32.076511
B0006,15,1.901067,24.0,95.0533,0.985476,5.428773,3.997458,9.6e-05,6040.469,0.150557,32.078489
B0006,16,1.889199,24.0,94.4599,0.990026,5.45797,3.988983,9.6e-05,5677.125,-0.033258,32.105342
B0006,17,1.878278,24.0,93.9139,0.989668,5.433057,4.001695,9.6e-05,5940.5,-0.14863,32.085858
B0006,18,1.86757,24.0,93.3785,0.965505,5.332828,3.99322,9.8e-05,5703.11,-0.001092,31.908831
B0006,19,1.867589,24.0,93.3795,0.960829,5.268417,3.99322,9.9e-05,5556.578,-0.065385,32.042697
B0006,20,1.979627,24.0,98.9813,1.055295,5.918529,3.99322,8.8e-05,5457.812,3.196617,28.597754
B0006,21,1.95755,24.0,97.8775,1.057832,5.954847,3.997458,8.8e-05,5376.578,3.128999,28.999939
B0006,22,1.945815,24.0,97.2908,1.048114,6.066035,3.950847,8.9e-05,5363.297,2.720837,28.954767
B0006,23,1.924246,24.0,96.2123,1.038657,5.966135,3.997458,9e-05,5583.547,2.658995,28.573881
B0006,24,1.945981,24.0,97.2991,1.028048,5.884179,4.001695,9.1e-05,5761.922,2.661403,28.354104
B0006,25,1.901408,24.0,95.0704,1.018747,5.74302,3.988983,9.2e-05,5966.156,2.606946,28.292384
B0006,26,1.878674,24.0,93.9337,1.010867,5.637262,4.001695,9.3e-05,5885.562,2.566995,28.21188
B0006,27,1.868306,24.0,93.4153,1.00802,5.64405,3.99322,9.3e-05,5517.75,2.555474,28.181746
B0006,28,1.856024,24.0,92.8012,0.996157,5.543078,4.001695,9.4e-05,5781.375,2.520208,28.075949
B0006,29,1.8452,24.0,92.26,0.988395,5.852521,4.001695,9.5e-05,5908.312,2.548551,28.099632
B0006,30,1.857229,24.0,92.8614,0.980614,5.487516,4.005932,9.6e-05,5241.297,2.544053,28.151034
B0006,31,1.882232,24.0,94.1116,0.994235,5.727661,3.99322,9.5e-05,5467.11,2.38153,28.482333
B0006,32,1.855277,24.0,92.7638,0.978995,5.506467,4.010169,9.6e-05,5464.078,2.211559,28.587108
B0006,33,1.839251,24.0,91.9625,0.9643,5.361684,4.001695,9.8e-05,5645.125,2.127303,28.294011
B0006,34,1.81854,24.0,90.927,0.954133,5.224053,4.005932,9.9e-05,5909.453,2.062525,27.9708
B0006,35,1.813477,24.0,90.6739,0.947384,5.090136,3.997458,0.0001,5680.266,2.244896,28.158792
B0006,36,1.797102,24.0,89.8551,0.938157,5.077859,4.001695,0.000101,5832.547,2.117226,28.401044
B0006,37,1.781005,24.0,89.0502,0.92752,5.037255,4.005932,0.000102,5923.562,2.165182,28.132231
B0006,38,1.771013,24.0,88.5507,0.917693,5.038202,4.010169,0.000103,6101.141,1.973572,27.96697
B0006,39,1.760471,24.0,88.0236,0.908295,4.902875,4.010169,0.000104,5607.594,1.933464,27.759574
B0006,40,1.750291,24.0,87.5146,0.901566,4.858713,4.010169,0.000105,5798.484,2.150705,28.315119
B0006,41,1.739493,24.0,86.9746,0.89521,4.942506,4.014407,0.000106,5864.906,2.13346,28.759435
B0006,42,1.754677,24.0,87.7338,0.885867,4.697315,4.027119,0.000107,6099.907,2.158954,28.681906
B0006,43,1.765939,24.0,88.297,0.92702,5.31802,4.014407,0.0001,6144.282,3.287693,28.544862
B0006,44,1.733789,24.0,86.6894,0.893673,4.850831,4.018644,0.000106,5830.391,2.068985,28.227586
B0006,45,1.713326,24.0,85.6663,0.87423,4.625469,4.031356,0.000108,6188.265,2.132642,28.067108
B0006,46,1.702408,24.0,85.1204,0.862112,4.520859,4.010169,0.00011,6247.031,2.144572,28.067128
B0006,47,1.823719,24.0,91.186,0.909982,5.213731,4.005932,0.000101,5624.657,3.110781,28.576959
B0006,48,1.808128,24.0,90.4064,0.949283,5.360842,4.001695,9.9e-05,5321.219,2.282693,30.708971
B0006,49,1.775761,24.0,88.7881,0.924441,5.17212,4.010169,0.000102,5786.062,2.17544,30.106699
B0006,50,1.744741,24.0,87.237,0.902552,4.906973,4.005932,0.000104,5966.375,2.174452,29.363373
B0006,51,1.729207,24.0,86.4604,0.886215,4.756042,4.018644,0.000106,5890.516,2.129671,29.053108
B0006,52,1.708109,24.0,85.4054,0.869003,4.699255,4.022881,0.000109,6117.281,2.145865,28.824608
B0006,53,1.697595,24.0,84.8798,0.858185,4.574584,4.022881,0.00011,6220.657,2.131121,29.043341
B0006,54,1.682063,24.0,84.1032,0.847852,4.546839,4.014407,0.000112,5943.313,2.114177,29.041517
B0006,55,1.671477,24.0,83.5738,0.834401,4.33513,4.018644,0.000114,6081.89,2.070296,28.954767
B0006,56,1.660759,24.0,83.038,0.822048,4.388657,4.022881,0.000115,6295.344,1.978159,28.827764
B0006,57,1.651121,24.0,82.5561,0.812243,4.193163,4.035593,0.000117,6439.14,2.062426,28.786886
B0006,58,1.640135,24.0,82.0067,0.806705,4.324572,4.027119,0.000118,6001.328,2.106814,29.207075
B0006,59,1.6292,24.0,81.46,0.794263,4.114581,4.035593,0.000119,6485.0,2.107721,29.185541
B0006,60,1.60885,24.0,80.4425,0.782229,4.037924,4.027119,0.000121,6473.187,1.977727,29.094563
B0006,61,1.603524,24.0,80.1762,0.76808,3.964107,4.035593,0.000123,6456.531,2.016454,28.972067
B0006,62,1.598971,24.0,79.9486,0.757901,4.03976,4.022881,0.000125,6564.844,2.017428,28.849414
B0006,63,1.587627,24.0,79.3814,0.753082,3.870537,4.035593,0.000126,6274.765,2.022286,29.329114
B0006,64,1.582972,24.0,79.1486,0.742923,3.779084,4.031356,0.000127,6575.156,1.755742,29.176042
B0006,65,1.567138,24.0,78.3569,0.729842,4.017725,4.039831,0.000129,6389.047,1.844497,29.061813
B0006,66,1.561345,24.0,78.0672,0.717417,3.730557,4.022881,0.000131,6482.906,1.85897,28.902663
B0006,67,1.551171,24.0,77.5586,0.706692,3.722983,4.044068,0.000133,6343.563,1.84281,28.837699
B0006,68,1.540674,24.0,77.0337,0.696336,3.60984,4.035593,0.000134,6280.828,1.83068,28.879493
B0006,69,1.525314,24.0,76.2657,0.688197,3.58595,4.044068,0.000136,6737.328,1.831376,28.950384
B0006,70,1.530157,24.0,76.5079,0.679755,3.518322,4.027119,0.000137,6967.437,1.841304,28.932627
B0006,71,1.524657,24.0,76.2328,0.667677,3.56953,4.048305,0.000139,6853.015,1.819894,28.908083
B0006,72,1.514549,24.0,75.7275,0.658284,3.41431,4.044068,0.000141,6630.078,1.81057,28.89162
B0006,73,1.509392,24.0,75.4696,0.646875,3.405484,4.05678,0.000143,6432.922,1.809064,28.906891
B0006,74,1.503997,24.0,75.1999,0.638534,3.435358,4.048305,0.000144,6679.547,1.783567,28.864999
B0006,75,1.49352,24.0,74.676,0.630238,3.402627,4.027119,0.000146,6602.843,1.792044,28.797863
B0006,76,1.487632,24.0,74.3816,0.61919,3.418166,4.061017,0.000148,6995.625,1.782906,28.740808
B0006,77,1.530288,24.0,76.5144,0.585709,3.573858,4.048305,0.000142,7176.563,2.836668,29.030891
B0006,78,1.504076,24.0,75.2038,0.645032,3.428767,4.061017,0.000143,6794.406,1.731874,29.111993
B0006,79,1.488759,24.0,74.438,0.616569,3.382824,4.069492,0.000148,7063.375,1.850655,28.548022
B0006,80,1.478278,24.0,73.9139,0.602471,3.294292,4.052542,0.000151,7148.438,1.879048,28.44054
B0006,81,1.47846,24.0,73.923,0.594896,3.278937,4.05678,0.000152,6845.454,1.903874,28.739843
B0006,82,1.473215,24.0,73.6607,0.593731,3.324225,4.061017,0.000152,6575.781,1.903421,29.323807
B0006,83,1.467516,24.0,73.3758,0.586777,3.252262,4.05678,0.000154,6630.062,1.82785,29.283363
B0006,84,1.451629,24.0,72.5815,0.57732,3.21801,4.05678,0.000156,7153.969,1.817756,29.144799
B0006,85,1.451924,24.0,72.5962,0.563702,3.199591,4.069492,0.00016,7153.516,1.748177,28.784111
